"","x"
"1",1.63076208204452
"2",1.48588967324432
"3",1.35388732995684
"4",1.23361171103331
"5",1.12402104660146
"6",1.0241661147532
"7",0.933182019838618
"8",0.850280701153575
"9",0.774744107134902
"10",0.705917975941271
"11",0.643206168550116
"12",0.586065505286608
"13",0.534001061061162
"14",0.486561878565084
"15",0.443337062294092
"16",0.403952219568029
"17",0.368066217720575
"18",0.335368229371283
"19",0.30557504018751
"20",0.278428595817353
"21",0.253693766746305
"22",0.231156311717883
"23",0.210621022078357
"24",0.191910030972777
"25",0.174861272747365
"26",0.159327079214351
"27",0.145172900620779
"28",0.132276140242909
"29",0.120525092512048
"30",0.109817975474352
"31",0.100062049204234
"32",0.0911728125354934
"33",0.083073271152641
"34",0.0756932707029697
"35",0.0689688891531137
"36",0.0628418831269748
"37",0.0572591834294618
"38",0.0521724353865108
"39",0.0475375800200304
"40",0.0433144724301115
"41",0.0394665340791088
"42",0.0359604359658466
"43",0.0327658099457554
"44",0.0298549856965308
"45",0.0272027510510395
"46",0.0247861336215887
"47",0.0225842018240935
"48",0.0205778835787095
"49",0.0187498011166006
"50",0.0170841204620191
"51",0.0155664142859824
"52",0.0141835369436512
"53",0.0129235106130431
"54",0.0117754215488681
"55",0.0107293255528884
"56",0.00977616184203015
"57",0.00890767456821527
"58",0.00811634131015487
"59",0.00739530791773472
"60",0.00673832914464586
"61",0.00613971455504885
"62",0.0055942792357407
"63",0.00509729888691715
"64",0.00464446890254784
"65",0.00423186708593817
"66",0.00385591967753785
"67",0.00351337040074534
